Date,BTC-USD,ETH-USD,GC=F,^GSPC,^IXIC
2020-06-01,10167.2685546875,246.99176025390625,1737.800048828125,3055.72998046875,9552.0498046875
2020-06-02,9529.8037109375,237.21905517578125,1725.199951171875,3080.820068359375,9608.3798828125
2020-06-03,9656.7177734375,244.1793212890625,1697.800048828125,3122.8701171875,9682.91015625
2020-06-04,9800.63671875,244.4263916015625,1718.9000244140625,3112.35009765625,9615.8095703125
2020-06-05,9665.533203125,241.22198486328125,1676.199951171875,3193.929931640625,9814.080078125
2020-06-06,9653.6796875,241.9313201904297,1676.199951171875,3193.929931640625,9814.080078125
2020-06-07,9758.8525390625,245.16725158691406,1676.199951171875,3193.929931640625,9814.080078125
2020-06-08,9771.4892578125,246.30990600585938,1698.300048828125,3232.389892578125,9924.75
2020-06-09,9795.7001953125,244.9114532470703,1714.699951171875,3207.179931640625,9953.75
2020-06-10,9870.0947265625,247.4449462890625,1713.300048828125,3190.139892578125,10020.349609375
2020-06-11,9321.78125,231.70266723632812,1732.0,3002.10009765625,9492.73046875
2020-06-12,9480.84375,237.4932098388672,1729.300048828125,3041.31005859375,9588.8095703125
2020-06-13,9475.27734375,238.90884399414062,1729.300048828125,3041.31005859375,9588.8095703125
2020-06-14,9386.7880859375,234.1147003173828,1729.300048828125,3041.31005859375,9588.8095703125
2020-06-15,9450.7021484375,229.9289093017578,1720.300048828125,3066.590087890625,9726.01953125
2020-06-16,9538.0244140625,234.41616821289062,1729.5999755859375,3124.739990234375,9895.8701171875
2020-06-17,9480.2548828125,233.0282745361328,1729.199951171875,3113.489990234375,9910.5302734375
2020-06-18,9411.8408203125,232.10116577148438,1724.800048828125,3115.340087890625,9943.0498046875
2020-06-19,9288.0185546875,227.13829040527344,1745.9000244140625,3097.739990234375,9946.1201171875
2020-06-20,9332.3408203125,229.27426147460938,1745.9000244140625,3097.739990234375,9946.1201171875
2020-06-21,9303.6298828125,228.9898223876953,1745.9000244140625,3097.739990234375,9946.1201171875
2020-06-22,9648.7177734375,242.53318786621094,1756.699951171875,3117.860107421875,10056.48046875
2020-06-23,9629.658203125,244.14215087890625,1772.0999755859375,3131.2900390625,10131.3701171875
2020-06-24,9313.6103515625,235.7724609375,1765.800048828125,3050.330078125,9909.169921875
2020-06-25,9264.8134765625,232.94448852539062,1762.0999755859375,3083.760009765625,10017.0
2020-06-26,9162.91796875,229.6680450439453,1772.5,3009.050048828125,9757.2197265625
2020-06-27,9045.390625,222.9597930908203,1772.5,3009.050048828125,9757.2197265625
2020-06-28,9143.58203125,225.34716796875,1772.5,3009.050048828125,9757.2197265625
2020-06-29,9190.8544921875,228.1948699951172,1774.800048828125,3053.239990234375,9874.150390625
2020-06-30,9137.9931640625,226.31500244140625,1793.0,3100.2900390625,10058.76953125
2020-07-01,9228.3251953125,231.11341857910156,1773.199951171875,3115.860107421875,10154.6298828125
2020-07-02,9123.41015625,229.39219665527344,1784.0,3130.010009765625,10207.6298828125
2020-07-03,9087.3037109375,225.38706970214844,1784.0,3130.010009765625,10207.6298828125
2020-07-04,9132.48828125,229.07411193847656,1784.0,3130.010009765625,10207.6298828125
2020-07-05,9073.9423828125,227.6645965576172,1784.0,3130.010009765625,10207.6298828125
2020-07-06,9375.474609375,241.51022338867188,1788.5,3179.719970703125,10433.650390625
